DATE,TIME,TIMESTAMP,DATA
2021-01-25,03:11:23,1611544283,0.1
2021-01-25,03:53:04,1611546784,0.1
2021-01-25,03:53:29,1611546809,0.1
2021-01-25,04:09:59,1611547799,0.1
2021-01-25,04:16:57,1611548218,0.1
2021-01-25,04:17:42,1611548262,0.1
2021-01-25,04:21:29,1611548490,0.1
2021-01-25,04:38:39,1611549519,0.1
2021-01-25,04:52:49,1611550369,0.1
2021-01-25,06:10:56,1611555056,0.1
2021-01-25,06:19:12,1611555552,0.1
2021-01-25,06:19:40,1611555581,0.1
2021-01-25,06:20:01,1611555601,0.1
2021-01-25,06:20:41,1611555642,0.1
2021-01-25,06:20:54,1611555654,0.1
2021-01-25,06:21:04,1611555664,0.1
2021-01-25,06:21:20,1611555681,0.1
2021-01-25,06:21:31,1611555691,0.1
2021-01-25,06:21:40,1611555700,0.1
2021-01-25,06:21:52,1611555712,0.1
2021-01-25,06:22:03,1611555723,0.1
2021-01-25,06:22:18,1611555738,0.1
2021-01-25,06:22:32,1611555752,0.1
2021-01-25,06:23:11,1611555792,0.1
2021-01-25,06:23:18,1611555798,0.1
2021-01-25,06:23:26,1611555806,0.1
2021-01-25,06:23:34,1611555815,0.1
2021-01-25,06:23:42,1611555822,0.1
2021-01-25,06:23:48,1611555828,0.1
2021-01-25,06:23:56,1611555837,0.1
2021-01-25,06:24:10,1611555850,0.1
2021-01-25,06:24:20,1611555860,0.1
2021-01-25,06:24:32,1611555873,0.1
2021-01-25,06:24:45,1611555885,0.1
2021-01-25,06:24:56,1611555896,0.1
2021-01-25,06:26:32,1611555993,0.1
2021-01-25,06:27:10,1611556030,0.1
2021-01-25,06:27:26,1611556047,0.1
2021-01-25,06:27:37,1611556057,0.1
2021-01-25,06:28:51,1611556132,0.1
2021-02-05,18:14:01,1612548841,0.1
2021-02-06,07:00:35,1612594835,0.1
2021-02-06,07:02:08,1612594929,0.1
2021-02-06,07:02:38,1612594958,0.1
2021-02-06,07:03:13,1612594993,0.1
2021-02-06,07:05:01,1612595101,0.1
2021-02-06,07:05:30,1612595131,0.1
2021-02-06,07:06:12,1612595172,0.1
2021-02-06,07:07:22,1612595243,0.1
2021-02-06,07:08:22,1612595302,0.1
2021-02-06,07:09:43,1612595384,0.1
2021-02-06,07:10:11,1612595411,0.1
2021-02-06,07:10:52,1612595452,0.1
2021-02-06,07:12:49,1612595569,0.1
2021-02-06,07:13:20,1612595601,0.1
2021-02-06,07:13:37,1612595617,0.1
2021-02-06,07:14:34,1612595674,0.1
2021-02-06,07:15:10,1612595710,0.1
2021-02-06,07:15:37,1612595738,0.1
2021-02-06,07:16:13,1612595773,0.1
2021-02-06,07:16:58,1612595818,0.1
2021-02-06,07:18:12,1612595892,0.1
2021-02-06,07:19:57,1612595998,0.1
2021-02-06,07:20:33,1612596033,0.1
2021-02-06,07:21:02,1612596062,0.1
2021-02-06,07:21:51,1612596112,0.1
2021-02-06,07:22:10,1612596130,0.1
2021-02-06,07:22:27,1612596147,0.1
2021-02-06,07:22:44,1612596164,0.1
2021-02-06,07:22:57,1612596177,0.1
2021-02-06,07:23:11,1612596191,0.1
2021-02-06,07:23:26,1612596206,0.1
2021-02-06,07:23:43,1612596223,0.1
2021-02-06,07:23:53,1612596233,0.1
2021-02-06,07:24:04,1612596244,0.1
2021-02-06,07:24:14,1612596254,0.1
2021-02-06,07:24:51,1612596292,0.1
2021-02-06,07:25:12,1612596312,0.1
2021-02-06,07:25:19,1612596319,0.1
2021-02-06,07:25:25,1612596326,0.1
2021-02-06,07:25:36,1612596336,0.1
2021-02-06,07:25:44,1612596344,0.1
2021-02-06,07:25:51,1612596351,0.1
2021-02-06,07:26:00,1612596360,0.1
2021-02-06,07:26:14,1612596374,0.1
2021-02-06,07:26:27,1612596388,0.1
2021-02-06,07:26:40,1612596400,0.1
2021-02-06,07:27:27,1612596447,0.1
2021-02-06,07:27:47,1612596467,0.1
2021-02-06,07:28:02,1612596483,0.1
2021-02-06,07:28:28,1612596508,0.1
2021-02-06,07:28:51,1612596531,0.1
2021-02-06,07:29:09,1612596549,0.1
2021-02-06,07:30:11,1612596611,0.1
2021-02-06,07:30:38,1612596638,0.1
2021-02-06,07:31:07,1612596668,0.1
2021-02-06,07:31:47,1612596707,0.1
2021-02-06,07:33:33,1612596813,0.1
2021-02-06,07:38:22,1612597102,0.1
2021-02-06,07:40:54,1612597254,0.1
2021-02-06,07:41:53,1612597314,0.1
2021-02-06,07:43:19,1612597400,0.1
2021-02-06,07:43:57,1612597437,0.1
2021-02-06,07:44:40,1612597480,0.1
2021-02-06,07:45:20,1612597521,0.1
2021-02-06,07:45:54,1612597554,0.1
2021-02-06,07:46:31,1612597591,0.1
2021-02-06,07:49:43,1612597783,0.1
2021-02-06,07:51:13,1612597874,0.1
2021-02-06,07:53:17,1612597997,0.1
2021-02-06,07:58:15,1612598296,0.1
2021-02-06,08:01:04,1612598465,0.1
2021-02-06,08:02:59,1612598579,0.1
2021-02-06,08:05:21,1612598721,0.1
2021-02-06,08:07:07,1612598827,0.1
2021-02-06,08:08:37,1612598917,0.1
2021-02-06,22:57:55,1612652275,0.1
