DATE,TIME,TIMESTAMP,DATA
2020-09-22,00:42:14,1600735334,1
2020-09-22,01:05:48,1600736748,1
2020-09-22,01:05:50,1600736751,1
2020-09-22,01:06:27,1600736787,1
2020-09-22,01:06:52,1600736812,1
2020-09-30,22:54:12,1601506452,1
2020-09-30,22:54:17,1601506457,1
2020-09-30,22:54:23,1601506463,1
2020-10-01,03:20:01,1601522401,1
2020-10-01,03:20:26,1601522426,1
2020-10-01,03:20:28,1601522429,1
2020-10-01,22:51:09,1601592669,1
2020-10-01,22:51:52,1601592712,1
2020-10-01,22:54:48,1601592888,1
2020-10-02,03:23:22,1601609002,1
2020-10-06,19:41:12,1602013272,1
2020-10-06,19:41:48,1602013308,1
2020-10-06,19:41:51,1602013311,1
2020-10-16,16:36:57,1602866217,1
2020-10-16,17:31:44,1602869505,1
2020-10-23,20:50:23,1603486223,1
2020-10-23,20:50:25,1603486225,1
2020-10-23,21:45:47,1603489548,1
