DATE,TIME,TIMESTAMP,DATA
2020-11-12,19:64:00,1605211440,1.418680
2020-11-12,19:64:00,1605211440,2.541040
2020-11-12,19:64:00,1605211440,0.877400
2020-11-12,19:64:00,1605211440,0.773920
2020-11-12,22:39:59,1605220799,0.829640
2020-11-12,22:42:30,1605220950,1.410720
2020-11-12,22:47:17,1605221237,1.140080
2020-11-12,22:49:47,1605221387,0.336120
2020-11-12,22:52:17,1605221537,1.068440
2020-11-12,22:54:46,1605221687,1.219680
2020-11-12,22:57:16,1605221836,1.179880
2020-11-12,22:59:47,1605221988,1.569920
2020-11-12,23:02:16,1605222137,1.116200
2020-11-12,23:04:48,1605222288,1.355000
2020-11-12,23:07:17,1605222437,0.638600
2020-11-12,23:09:46,1605222586,1.888320
2020-11-12,23:12:17,1605222737,1.339080
2020-11-12,23:14:47,1605222887,1.100280
2020-11-12,23:17:18,1605223038,1.458480
2020-11-12,23:19:47,1605223187,1.100280
2020-11-12,23:22:18,1605223338,1.179880
2020-11-12,23:24:47,1605223487,1.004760
2020-11-12,23:27:18,1605223638,1.187840
2020-11-12,23:29:48,1605223788,1.975880
2020-11-12,23:32:17,1605223937,0.949040
2020-11-12,23:34:48,1605224088,1.928120
2020-11-12,23:37:17,1605224237,1.522160
2020-11-12,23:39:48,1605224388,0.964960
2020-11-12,23:42:17,1605224537,2.923120
2020-11-12,23:44:47,1605224687,1.203760
2020-11-12,23:47:18,1605224838,1.904240
2020-11-12,23:49:47,1605224987,1.156000
2020-11-12,23:52:18,1605225138,1.617680
2020-11-12,23:54:46,1605225287,1.530120
2020-11-12,23:57:18,1605225438,1.386840
2020-11-12,23:59:47,1605225588,1.912200
2020-11-13,00:02:33,1605225753,1.060480
2020-11-13,00:05:01,1605225902,1.394800
2020-11-13,00:07:32,1605226053,3.018640
2020-11-13,00:10:01,1605226202,1.959960
2020-11-13,00:12:32,1605226353,0.423680
2020-11-13,00:15:02,1605226502,1.251520
2020-11-13,00:17:31,1605226652,1.036600
2020-11-13,00:20:02,1605226802,1.211720
2020-11-13,00:22:31,1605226951,1.745040
2020-11-13,00:25:02,1605227102,0.996800
2020-11-13,00:27:31,1605227251,0.813720
2020-11-13,00:30:17,1605227417,0.845560
2020-11-13,00:32:46,1605227566,0.941080
2020-11-13,00:35:17,1605227717,1.991800
2020-11-13,00:38:16,1605227896,2.039560
2020-11-13,00:40:47,1605228048,0.726160
2020-11-13,00:43:16,1605228197,1.593800
2020-11-13,00:45:46,1605228347,1.378880
2020-11-13,00:48:18,1605228498,0.758000
