timestamp,message
1596143854370,"Slope: -0.015748, Current: 143.582748, Previous: 143.818970"
1596143857575,"Number of data points in queue: 0"
1596143866770,", Entering power saving mode. Sleeping for 15 min."
1596144797490,"Slope: -0.034121, Current: 143.070938, Previous: 143.582748"
1596144800610,"Number of data points in queue: 0"
1596144809650,", Entering power saving mode. Sleeping for 15 min."
1596145004848,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596145005568,"Internal timestamp invalid. Fetching from server."
1596145008448,"Number of data points in queue: 0"
1596145019968,", Entering power saving mode. Sleeping for 15 min., "
1596145103264,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596145104978,"Internal timestamp invalid. Fetching from server."
1596145109026,"Number of data points in queue: 0"
1596145125665,", Entering power saving mode. Sleeping for 15 min., "
1596145432938,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596145433568,"Internal timestamp invalid. Fetching from server."
1596145436208,"Safe mode requested."
1596145588855,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596145589648,"Internal timestamp invalid. Fetching from server."
1596145592367,"Safe mode requested."
1596145702208,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596145702848,"Internal timestamp invalid. Fetching from server."
1596145705409,"Safe mode requested."
1596145740450,"Slope: 0.026247, Current: 143.464645, Previous: 143.070938"
1596145743651,"Number of data points in queue: 0"
1596145752691,", Entering power saving mode. Sleeping for 15 min."
1596146279728,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596146280447,"Internal timestamp invalid. Fetching from server."
1596146283657,"Number of data points in queue: 0"
1596146297261,", Entering power saving mode. Sleeping for 15 min., "
1596146427728,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596146428368,"Internal timestamp invalid. Fetching from server."
1596146431576,"Number of data points in queue: 0"
1596146445181,", Entering power saving mode. Sleeping for 15 min., "
1596146526456,"Slope: 0.000000, Current: 0.000000, Previous: 0.000000"
1596146527168,"Internal timestamp invalid. Fetching from server."
1596146530129,"Number of data points in queue: 0"
1596146544064,", Entering power saving mode. Sleeping for 15 min., "
