timestamp,1,2,3,4,5,6,7,8,9,10,11
1595439381,139.842590,139.881958,139.921341,139.960709,139.960709,139.960709,140.000076,140.078812,140.196930,140.196930,140.196930
1595440322,142.677246,142.716614,142.795349,142.795349,142.834717,142.874100,142.874100,142.952835,142.992203,142.992203,143.267792
1595441263,142.952835,143.267792,143.307159,143.346527,143.346527,143.346527,143.385910,143.385910,143.385910,143.385910,143.464645
1595442204,143.385910,143.464645,143.464645,143.504013,143.543381,143.543381,143.543381,143.582748,143.582748,143.622131,143.622131
1595443219,115.157539,116.889824,117.401642,117.441010,117.480377,117.559120,117.598488,117.755966,117.834709,117.913452,118.425262
1595446067,143.070938,143.110321,143.189056,143.189056,143.228424,143.228424,143.267792,143.267792,143.307159,143.307159,143.504013
1595447025,141.653625,141.653625,141.771729,141.771729,141.771729,141.771729,141.771729,141.771729,141.771729,141.811096,141.811096
1595447966,141.614243,141.614243,141.653625,141.692993,141.692993,141.771729,141.771729,141.811096,141.889847,141.929214,141.968582
1595448940,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595449914,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595450887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595451861,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595452835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595453809,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595454782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595455755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595456729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595457704,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595458677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595459650,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595460625,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595461598,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595462572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595463546,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595464520,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595465495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595466468,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595467441,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595468415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595469389,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595470362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595471335,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595472309,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595473283,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595474258,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595475231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595476206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1595521459,143.504013,143.582748,143.622131,143.661499,143.661499,143.661499,143.661499,143.661499,143.700867,143.740234,143.779602
1595522399,143.700867,143.700867,143.779602,143.779602,143.818970,143.818970,143.818970,143.818970,143.858353,143.858353,143.858353
1595523340,140.708740,143.464645,143.504013,143.504013,143.504013,143.543381,143.543381,143.543381,143.543381,143.582748,143.582748
1595524280,143.307159,143.307159,143.346527,143.346527,143.346527,143.385910,143.425278,143.425278,143.425278,143.464645,143.504013
1595525221,142.952835,142.952835,142.952835,142.952835,142.992203,142.992203,142.992203,142.992203,143.031570,143.110321,143.110321
1595526165,139.645752,141.850464,142.992203,143.110321,143.149689,143.149689,143.189056,143.189056,143.228424,143.228424,143.228424
1595527106,143.307159,143.346527,143.346527,143.385910,143.385910,143.385910,143.425278,143.425278,143.425278,143.464645,143.464645
1595528048,143.504013,143.661499,143.661499,143.661499,143.700867,143.700867,143.700867,143.700867,143.700867,143.740234,143.818970
1595528989,143.464645,143.504013,143.504013,143.543381,143.582748,143.582748,143.582748,143.582748,143.622131,143.661499,143.700867
1595529931,143.346527,143.385910,143.425278,143.425278,143.425278,143.425278,143.425278,143.425278,143.425278,143.464645,143.464645
1595530876,143.189056,143.307159,143.307159,143.307159,143.307159,143.346527,143.346527,143.385910,143.385910,143.385910,143.425278
1595531818,143.031570,143.110321,143.110321,143.149689,143.149689,143.149689,143.189056,143.189056,143.228424,143.267792,143.267792
1595532760,142.913467,142.952835,143.031570,143.031570,143.031570,143.031570,143.031570,143.070938,143.070938,143.070938,143.070938
1595533743,142.834717,142.834717,142.874100,142.874100,142.874100,142.913467,142.913467,142.913467,142.952835,142.952835,142.992203
1595533868,142.874100,142.874100,142.874100,142.913467,142.913467,142.952835,142.952835,142.952835,142.952835,142.992203,143.070938
1595534827,141.456772,142.795349,142.795349,142.795349,142.874100,142.874100,142.913467,142.913467,142.952835,142.952835,142.992203
1595535768,142.834717,142.874100,142.913467,142.913467,142.952835,142.992203,142.992203,142.992203,142.992203,143.070938,143.346527
1595536709,143.070938,143.110321,143.149689,143.149689,143.149689,143.189056,143.189056,143.189056,143.228424,143.267792,144.645752
1595537650,143.070938,143.110321,143.149689,143.149689,143.189056,143.189056,143.189056,143.189056,143.228424,143.267792,143.307159
1595538591,143.189056,143.228424,143.267792,143.267792,143.267792,143.267792,143.307159,143.307159,143.346527,143.385910,143.464645
1595540274,140.944962,142.322906,142.362274,142.441025,142.441025,142.441025,142.441025,142.480392,142.480392,142.480392,142.480392,142.519760,142.519760,142.519760,142.559128,142.559128,142.559128,142.559128,142.559128,142.559128,142.598495
1595541397,142.992203,143.031570,143.070938,143.070938,143.070938,143.070938,143.070938,143.110321,143.110321,143.110321,143.110321,143.110321,143.149689,143.149689,143.189056,143.189056,143.189056,143.228424,143.228424,143.307159,143.307159
1595542352,143.228424,143.267792,143.267792,143.267792,143.267792,143.267792,143.307159,143.307159,143.307159,143.307159,143.346527,143.346527,143.346527,143.346527,143.346527,143.385910,143.385910,143.385910,143.425278,143.464645,143.464645
