timestamp,batt_volt,batt_level,height,source,state
1596368835,4.15625,100,120,"usb host","charged"
1596369815,4.15625,100,120,"usb host","charged"
1596370795,4.15625,100,120,"usb host","charged"
1596371776,4.15625,100,120,"usb host","charged"
1596372757,4.15625,100,120,"usb host","charged"
1596373738,4.15625,100,120,"usb host","charged"
1596374719,4.15625,100,120,"usb host","charged"
1596676251,4.16875,100,120,"usb host","charged"
1596677213,4.16875,100,120,"usb host","charged"
1596680571,4.1675,100,120,"usb host","charged"
1596682395,4.16625,100,120,"usb host","charged"
1596682658,4.1675,100,120,"usb host","charged"
1596683620,4.1675,100,120,"usb host","charged"
1596721906,4.16375,100,120,"usb host","charged"
1596722868,4.17625,100,120,"usb host","charged"
1596723830,4.17625,100,120,"usb host","charged"
1598122598,3.64875,37.433594,120,"usb host","charging"
1598123560,3.65875,37.433594,120,"usb adapter","charging"
1598124527,3.65875,37.433594,120,"usb adapter","charging"
1598125489,3.65875,37.433594,120,"usb adapter","charging"
1598126451,3.65875,37.433594,120,"usb adapter","charging"
1598127414,3.65875,37.433594,120,"usb adapter","charging"
1598372502,4.14625,100,120,"usb host","charged"
1598373469,4.14625,100,120,"usb host","charged"
1598456284,3.05375,0,120,"vin","charging"
1598457324,3.06625,0,120,"vin","charging"
