timestamp,height
1592218037,10.85
1592218937,10.74
1592219837,10.92
1592220737,10.61
1592221637,10.62
1592222537,10.42
1592223437,10.34
1592224337,10.31
1592225237,10.5
1592226137,10.44
1592227037,10.42
1592227937,10.32
1592228837,10.26
1592229737,10.37
1592230637,10.2
1592231537,10.31
1592232437,10.78
1592233337,10.4
1592234237,10.25
1592235137,10.24
1592236037,10.04
1592236937,9.91
1592237837,10.07
1592238737,9.74
1592239637,10.06
1592240537,9.92
1592241437,9.92
1592242337,9.89
1592243237,10.2
1592244137,9.95
1592245037,10.04
1592245937,10
1592246837,10.32
1592247737,10.16
1592248637,10.22
1592249537,10.28
1592250437,10.16
1592251337,10.3
1592252237,10.3
1592253137,10.24
1592254037,10.39
1592254937,10.34
1592255837,10.27
1592256737,10.25
1592257637,10.22
1592258537,10.4
1592259437,10.4
1592260337,10.21
1592261237,10.4
1592262137,10.22
1592263037,10.45
1592263937,10.38
1592264837,10.2
1592265737,10.24
1592266637,10.39
1592267537,10.3
1592268437,10.2
1592269337,10.14
1592270237,10.37
1592271137,10.24
1592272037,10.15
1592272937,10.01
1592273837,10.16
1592274737,10
1592275637,9.95
1592276537,9.97
1592277437,9.85
1592278337,9.94
1592279237,9.83
1592280137,9.76
1592281037,9.83
1592281937,9.71
1592282837,9.64
1592283737,9.74
1592284637,9.73
1592285537,9.83
1592286437,9.94
1592287337,9.92
1592288237,10
1592289137,9.79
1592290037,10.01
1592290937,9.97
1592291837,9.91
1592292737,10.13
1592293637,10.03
1592294537,10.12
1592295437,9.96
1592296337,10.16
1592297237,10.16
1592298137,10.15
1592299037,10.43
1592299937,10.31
1592300837,10.16
1592301737,10.26
1592302637,10.34
1592303537,10.2
1592304437,10.34
1592305337,10.19
1592306237,10.22
1592307137,10.28
1592308037,10.14
1592308937,10.19
1592309837,10.27
1592310737,10.12
1592311637,10.09
1592312537,10.04
1592313437,10.15
1592314337,9.98
1592315237,10
1592316137,9.98
1592317037,10.06
1592317937,9.94
1592318837,9.84
1592319737,9.92
1592320637,9.67
1592321537,9.73
1592322437,9.78
1592323337,9.6
1592324237,9.88
1592325137,9.62
1592326037,9.56
1592326937,9.82
1592327837,9.67
1592328737,9.48
1592329637,9.68
1592330537,9.71
1592331437,9.66
1592332337,9.86
1592333237,9.62
1592334137,9.68
1592335037,9.84
1592335937,10.07
1592336837,9.96
1592337737,10.18
1592338637,10.09
1592339537,10.22
1592340437,10
1592341337,10.02
1592342237,10.02
1592343137,10.02
1592344037,10.15
1592344937,9.88
1592345837,10.16
1592346737,10.22
1592347637,10.14
1592348537,10.16
1592349437,10.15
1592350337,10.04
1592351237,9.94
1592352137,10.02
1592353037,9.97
1592353937,9.95
1592354837,9.92
1592355737,9.96
1592356637,9.94
1592357537,9.84
1592358437,9.88
1592359337,9.71
1592360237,9.62
1592361137,9.6
1592362037,9.78
1592362937,9.6
1592363837,9.55
1592364737,9.6
1592365637,9.64
1592366537,9.49
1592367437,9.53
1592368337,9.54
1592369237,9.44
1592370137,9.5
1592371037,9.59
1592371937,9.59
1592372837,9.65
1592373737,9.42
1592374637,9.38
1592375537,9.53
1592376437,9.61
1592377337,9.52
1592378237,9.68
1592379137,9.83
1592380037,9.8
1592380937,9.65
1592381837,9.61
1592382737,9.82
1592383637,9.78
1592384537,9.85
1592385437,10.01
1592386337,9.74
1592387237,9.83
